Season,Species,Age,Average.Weight,Number,Cause,Producing,SLR,Cu,Zn,N,P,Org
Autumn,Salmon,9,300,4500,Human,Yes,6.868708816,0.420223173,6.171469563,266.816395,105.0463009,460.1676376
Autumn,Salmon,9,400,9000,Natural,Yes,3.013258665,3.646971222,8.307547457,365.2403254,144.2735432,629.3447765
Spring,Salmon,12,450,9000,Human,Yes,1.491361694,1.251278529,9.049526125,401.8577356,158.8675552,692.2850458
Spring,Salmon,15,150,10000,Human,Yes,5.619338877,0.467532926,6.3120422,272.961553,107.4954777,470.7303152
Spring,Salmon,14,22.5,3000,Natural,Yes,8.261015742,1.361527885,9.505815078,424.970521,168.0792462,732.0127309
Spring,Salmon.Fresh,4,40,20000,Human,Yes,0.593704521,2.991147962,11.88115958,373.6523843,38.06490719,302.2419164
Spring,Salmon,15,17.5,6500,Natural,No,0.817152335,0.416004937,4.576462039,518.0520938,152.1189437,159.3805963
Spring,Salmon,16,500,7500,Natural,Yes,2.265385353,0.236406236,12.62391666,542.5277556,84.25879938,918.9115127
Autumn,Salmon,21,90,500,Human,Yes,2.773786445,5.384645465,10.46190046,474.8296175,187.9507841,817.7136296
Autumn,Other,12,75,75000,Natural,Yes,0.337118623,3.47518887,7.859933131,76.9281454,43.13750072,224.9828111
Winter,Salmon,20,51,3000,Natural,Yes,0.784624195,-2.318486001,16.44066389,504.1597762,100.3087924,366.6119932
Spring,Salmon,16,100,20000,Human,Yes,3.035316401,0.420223173,6.171469563,266.816395,105.0463009,460.1676376
Spring,Other,15,100,2400,Human,Yes,0.585193262,-0.566635606,9.374562133,294.0135403,141.7408328,376.2522778
Spring,Salmon,13,800,35335,Natural,Yes,6.346075239,0.467532926,6.3120422,272.961553,107.4954777,470.7303152
Spring,Salmon,25,2500,19750,Human,Yes,2.432969291,5.761236493,10.6953922,299.4874893,118.0674933,516.3247351
Summer,Salmon,13,2500,8147,Human,Yes,2.966610987,0.606106967,6.738435269,291.8944087,115.0412413,503.2732785
Summer,Salmon,16,2100,36,Human,No,0.015859628,-3.910011236,-0.425242384,50.03177894,15.07459652,72.14251427
Winter,Salmon,13,1000,47176,Natural,No,3.613811871,2.167050616,9.380999817,215.3323135,123.5114704,586.8846756
Autumn,Salmon,34,155,150,Natural,Yes,5.418606332,0.449183164,6.257223846,270.559417,106.538097,466.6013753
Winter,Other,20,235,1560,Human,Yes,0.613091638,1.058542466,6.807207947,445.7063283,108.3759277,390.7214253
Spring,Salmon,13,4000,11476,Human,No,1.955749087,0.55517746,7.595041443,436.9896654,172.5108342,348.2111967
Spring,Salmon,14,1800,50,Human,Yes,3.255754787,1.361527885,9.505815078,424.970521,168.0792462,732.0127309
Spring,Salmon,15,4900,16000,Human,No,1.497907322,4.531157665,8.71561502,546.0906828,140.237154,181.2639808
Summer,Salmon,4,1700,18416,Human,Yes,2.69019608,-1.380924566,2.27015906,117.0246709,45.34622358,202.6963578
Summer,Salmon,9,2000,500,Human,Yes,0.308351778,-0.262838055,8.399096036,428.2846483,70.33245854,356.6221852
Summer,Salmon,18,300,50,Human,No,3.222716471,4.285137073,10.04177334,452.6847257,179.1248509,779.64962
Autumn,Salmon,30,3500,1,Human,Yes,0.22549643,5.693061658,5.508917232,176.5691828,219.2313689,199.6303557
Autumn,Salmon,20,900,1,Human,Yes,4.08357428,1.016788176,8.142269574,357.2496169,141.0888151,615.6098526
Autumn,Salmon,12,1000,200,Human,Yes,2.862131379,0.108380605,5.304153409,229.9864419,90.3675791,396.8620363
Autumn,Salmon,18,2500,3000,Natural,Yes,4.67692238,0.802773041,7.383234569,321.3464764,126.7794781,553.8973142
Winter,Salmon,36,5000,1,Natural,No,0.23805466,4.319825301,24.73461576,130.7702548,167.866889,447.0717247
Spring,Salmon,24,4000,11300,Natural,Yes,0.110664747,-1.948116046,1.464938975,91.65070349,35.23332965,159.0820133
Spring,Salmon,18,3500,4227,Human,No,1.785329835,-1.031875508,2.847174783,136.4693799,53.09598836,236.1191262
Spring,Salmon,12,9000,200,Human,Yes,0.576159966,3.060789824,9.122801296,334.2269819,118.5723679,556.8011228
Summer,Salmon,24,600,400,Natural,Yes,0.144557732,-1.948116046,1.464938975,91.65070349,35.23332965,159.0820133
